,날짜,종목명,종가,전일비,등락률,거래량,기관순매매량,외국인순매매량,외국인보유주수,외국인보유율
117,2023.02.08,진양홀딩스,"3,310",10,+0.30%,"23,074",+40,"-1,458","1,100,683",1.97%
118,2023.02.09,진양홀딩스,"3,270",40,-1.21%,"36,567","+14,171",-19,"1,100,664",1.97%
132,2023.02.01,위메이드,"38,050",950,-2.44%,"820,309","-29,030","-238,861","1,687,776",4.99%
133,2023.02.02,위메이드,"39,150","1,100",+2.89%,"1,049,287","+97,371","+116,861","1,790,979",5.30%
134,2023.02.03,위메이드,"44,500","5,350",+13.67%,"5,524,077","-8,040","+45,097","1,803,364",5.34%
135,2023.02.06,위메이드,"45,700","1,200",+2.70%,"3,652,612","+54,060","-352,875","1,375,689",4.07%
136,2023.02.07,위메이드,"46,100",400,+0.88%,"937,131","-25,536","+100,301","1,478,196",4.37%
137,2023.02.08,위메이드,"44,600","1,500",-3.25%,"904,638","-16,707","-77,585","1,423,611",4.21%
138,2023.02.09,위메이드,"43,750",850,-1.91%,"1,048,479","-40,901","-40,287","1,425,900",4.22%
152,2023.02.01,링크제니시스,"7,170",270,-3.63%,"226,336",0,"+6,467","196,938",1.72%
153,2023.02.02,링크제니시스,"7,210",40,+0.56%,"117,268",0,"+22,001","218,939",1.91%
154,2023.02.03,링크제니시스,"7,200",10,-0.14%,"113,169",0,"+30,327","249,266",2.17%
155,2023.02.06,링크제니시스,"7,650",450,+6.25%,"441,575",0,"+14,025","263,291",2.30%
156,2023.02.07,링크제니시스,"7,550",100,-1.31%,"215,757",0,"-37,141","226,150",1.97%
157,2023.02.08,링크제니시스,"7,600",50,+0.66%,"198,277",0,"+12,624","238,774",2.08%
158,2023.02.09,링크제니시스,"7,750",150,+1.97%,"577,488","+4,353","-7,147","231,627",2.02%
172,2023.02.01,삼성전자우,"56,100","1,100",+2.00%,"1,111,460","-79,649","+97,673","593,014,018",72.07%
173,2023.02.02,삼성전자우,"56,800",700,+1.25%,"1,245,091","+147,386","-369,156","592,694,317",72.03%
174,2023.02.03,삼성전자우,"57,100",300,+0.53%,"852,866","+93,568","+57,461","592,476,078",72.00%
175,2023.02.06,삼성전자우,"55,400","1,700",-2.98%,"717,298",+804,"-312,205","592,206,873",71.97%
176,2023.02.07,삼성전자우,"55,500",100,+0.18%,"828,078","+11,904","-284,924","591,921,949",71.93%
177,2023.02.08,삼성전자우,"57,000","1,500",+2.70%,"1,037,633","-34,727","+598,149","592,329,098",71.98%
178,2023.02.09,삼성전자우,"56,800",200,-0.35%,"701,308","-7,152","-58,834","592,466,264",72.00%
192,2023.02.01,한국조선해양,"80,200",600,+0.75%,"262,515","+14,613","-28,336","14,125,916",19.96%
193,2023.02.02,한국조선해양,"79,400",800,-1.00%,"216,563","-11,994","-58,515","14,069,966",19.88%
194,2023.02.03,한국조선해양,"83,000","3,600",+4.53%,"365,140","+84,854","+44,992","14,049,958",19.85%
195,2023.02.06,한국조선해양,"81,500","1,500",-1.81%,"335,292","+13,862","-76,130","13,973,828",19.74%
196,2023.02.07,한국조선해양,"79,900","1,600",-1.96%,"240,472","+17,580","-68,179","13,905,649",19.65%
197,2023.02.08,한국조선해양,"79,600",300,-0.38%,"214,148","+1,297","-28,187","13,877,462",19.61%
